"","DATA_RESPOSTA","EMAIL","VINCULO","CAMPUS","TIPO_DOMICILIO","IDADE_0_9","IDADE_10_39","IDADE_40_59","IDADE_MAIS_59","DOENCA_CRONICA","QUARTOS_DOMICILIO","ESTUDANTES","PROFESSORES","SERVICOS_ESSENCIAIS","INFORMAIS_AUTONOMOS"
"532","26/03/2020 19:12:58","4e7e30e2236492924695e979b4ec29f7","Aluno","Montes Claros","Apartamento",0,0,0,0,1,2,0,0,0,0
"533","26/03/2020 19:13:38","d027d392920a13c38ca6e6780551a346","Aluno","Montes Claros","Apartamento",0,2,0,0,0,1,2,0,0,0
"534","26/03/2020 19:14:12","ec4375096564567b302a62e85a7c9290","Aluno","Montes Claros","Apartamento, República",0,2,0,0,0,2,2,0,0,0
"535","26/03/2020 19:15:35","d10c65f01c5b4a6364d5f9068d694f7d","Aluno","Montes Claros","Apartamento",0,3,0,0,2,2,2,0,0,1
"536","26/03/2020 19:16:25","982372ad93715b0b925ed089261c6aec","Aluno","Montes Claros","Casa",0,3,2,0,1,3,3,1,0,1
"537","26/03/2020 19:16:50","d535902df3a845530a984f9b60df6b45","Aluno","Montes Claros","Apartamento",0,2,0,0,1,2,2,0,0,0
"539","26/03/2020 19:17:55","cc3882876a606c83d0097572206f184a","Aluno","Montes Claros","Casa",0,2,2,0,0,3,2,1,0,0
"540","26/03/2020 19:18:23","25af13d51e5ce56ef827e94ef420e62d","Aluno","Montes Claros","Casa",0,3,2,0,0,3,2,0,0,2
"541","26/03/2020 19:18:43","d78cd9adaaeb289bd8e94f74fefc71a6","Aluno","Montes Claros","Apartamento",0,3,0,0,0,3,3,0,0,0
"542","26/03/2020 19:19:06","acb459f968735d61500c7bf7f7f25369","Aluno","Montes Claros","Casa",0,4,2,0,3,4,2,0,2,1
"543","26/03/2020 19:19:17","df4f0851bc903f1722505ad0634db292","Professor","Diamantina","Apartamento",0,3,0,0,1,2,0,2,0,1
"544","26/03/2020 19:19:18","18303d3cff2b1c24fbec760c21d323e4","Aluno","Montes Claros","Casa",0,3,2,0,1,5,3,0,0,1
"546","26/03/2020 19:21:10","dab831bf6fa7b809fb307d98c5ec2ff7","Professor","Montes Claros","Apartamento",2,0,2,0,2,3,2,1,0,0
"547","26/03/2020 19:22:10","e5073019bda21e86deadadb88676d92b","Professor","Diamantina","Casa",2,2,0,0,0,3,2,1,1,0
"549","26/03/2020 19:22:55","ccc6d59d87ba8745194e76f83e814adf","Aluno","Januária","Casa",3,4,0,0,0,3,2,0,1,0
"550","26/03/2020 19:23:57","2e67ddfacf0eb617930288e10fba38bd","Aluno","Montes Claros","Apartamento",0,2,0,0,0,2,2,0,0,0
"551","26/03/2020 19:24:11","c87d48fc4ab63b7ecac21942c38af876","Aluno","Montes Claros","Casa",1,3,2,0,0,2,3,1,0,2
"552","26/03/2020 19:24:16","9b1e0cb6163fb2f83d0f594d8e961876","Aluno","Montes Claros","Apartamento",0,2,0,0,0,2,2,0,0,0
